127.0.0.1 - - [05/Sep/2026:08:16:04 +0800] "GET /api/banner/getList HTTP/1.1" 200 511 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:04 +0800] "GET /api/category/getList HTTP/1.1" 200 1166 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:05 +0800] "GET /api/resource/getList HTTP/1.1" 200 115 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:05 +0800] "GET /api/vip/getPlans HTTP/1.1" 200 1055 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:06 +0800] "GET /admin/login.php HTTP/1.1" 200 1207 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:37 +0800] "GET /api/banner/getList HTTP/1.1" 200 511 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:38 +0800] "GET /api/category/getList HTTP/1.1" 200 1166 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:38 +0800] "GET /api/resource/getList HTTP/1.1" 200 115 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:38 +0800] "GET /api/resource/getHot HTTP/1.1" 200 56 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:39 +0800] "GET /api/resource/getRecommended HTTP/1.1" 200 56 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:39 +0800] "GET /api/vip/getPlans HTTP/1.1" 200 1055 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:50 +0800] "GET /api/banner/getList HTTP/1.1" 200 511 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:50 +0800] "GET /api/resource/getList HTTP/1.1" 200 115 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:51 +0800] "GET /api/vip/getPlans HTTP/1.1" 200 1055 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:16:51 +0800] "GET /api/resource/search?keyword=test HTTP/1.1" 200 116 "-" "curl/8.21.0"
127.0.0.1 - - [05/Sep/2026:08:20:08 +0800] "GET /admin/login.php HTTP/1.1" 302 5 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:09 +0800] "GET /admin/dashboard.php HTTP/1.1" 200 1485 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:09 +0800] "GET /favicon.ico HTTP/1.1" 404 100 "http://localhost:9901/admin/dashboard.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:15 +0800] "GET /admin/resources.php HTTP/1.1" 200 1620 "http://localhost:9901/admin/dashboard.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:17 +0800] "GET /admin/categories.php HTTP/1.1" 200 2177 "http://localhost:9901/admin/resources.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:19 +0800] "GET /admin/users.php HTTP/1.1" 200 1414 "http://localhost:9901/admin/categories.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:20 +0800] "GET /admin/orders.php HTTP/1.1" 200 1455 "http://localhost:9901/admin/users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:21 +0800] "GET /admin/viplans.php HTTP/1.1" 200 2100 "http://localhost:9901/admin/orders.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:22 +0800] "GET /admin/comments.php HTTP/1.1" 200 1366 "http://localhost:9901/admin/viplans.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:23 +0800] "GET /admin/banners.php HTTP/1.1" 200 1886 "http://localhost:9901/admin/comments.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:23 +0800] "GET /uploads/banners/banner1.jpg HTTP/1.1" 404 101 "http://localhost:9901/admin/banners.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:23 +0800] "GET /uploads/banners/banner3.jpg HTTP/1.1" 404 101 "http://localhost:9901/admin/banners.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:23 +0800] "GET /uploads/banners/banner2.jpg HTTP/1.1" 404 101 "http://localhost:9901/admin/banners.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:24 +0800] "GET /admin/settings.php HTTP/1.1" 200 1908 "http://localhost:9901/admin/banners.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Sep/2026:08:20:25 +0800] "GET /admin/feedback.php HTTP/1.1" 200 1833 "http://localhost:9901/admin/settings.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
